city,lat,lon,temp_avg,rain_total,clouds_avg,weather_score,marker_size
Marseille,43.2963986,5.3777888,28.8,0.0,11.2,27.68,20.9
Aix en Provence,43.5298424,5.4474738,29.7,0.1,20.6,27.59,20.81
Avignon,43.9492493,4.8059012,29.8,1.4,15.4,27.56,20.779999999999998
Nimes,43.8374249,4.3600687,30.0,1.8,15.6,27.54,20.759999999999998
Aigues Mortes,43.5661521,4.19154,29.0,0.2,17.2,27.18,20.4
